flow_duration,upstream_volume,downstream_volume,num_packets_upstream,num_packets_downstream,upstream_packet_size_mean,upstream_packet_size_median,upstream_packet_size_std,upstream_packet_size_min,upstream_packet_size_max,upstream_packet_size_25th_percentile,upstream_packet_size_75th_percentile,upstream_packet_size_10th_percentile,upstream_packet_size_90th_percentile,downstream_packet_size_mean,downstream_packet_size_median,downstream_packet_size_std,downstream_packet_size_min,downstream_packet_size_max,downstream_packet_size_25th_percentile,downstream_packet_size_75th_percentile,downstream_packet_size_10th_percentile,downstream_packet_size_90th_percentile,upstream_interarrival_time_mean,upstream_interarrival_time_median,upstream_interarrival_time_std,upstream_interarrival_time_min,upstream_interarrival_time_max,upstream_interarrival_time_25th_percentile,upstream_interarrival_time_75th_percentile,upstream_interarrival_time_10th_percentile,upstream_interarrival_time_90th_percentile,downstream_interarrival_time_mean,downstream_interarrival_time_median,downstream_interarrival_time_std,downstream_interarrival_time_min,downstream_interarrival_time_max,downstream_interarrival_time_25th_percentile,downstream_interarrival_time_75th_percentile,downstream_interarrival_time_10th_percentile,downstream_interarrival_time_90th_percentile,label
10.531330000,550968,227872,5878,4006,93.73392310309629,94.0,3.2253002660054166,54,94,94.0,94.0,94.0,94.0,56.88267598602097,54.0,9.667103925451283,54,94,54.0,54.0,54.0,54.0,0.0017919538880381148,0.00115,0.0021074278254707454,0E-9,0.048040000,0.000322000,0.002717000,0.0001136000000000000227373675443,0.004535200000000001637090463191,0.0026295355805243444,0.002116,0.0023668413148614778,0E-9,0.047823000,0.000998000,0.004004000,0.0004280000000000000000000000000,0.005299599999999999909050529823,Wired
10.249955000,840885,371446,8968,6777,93.76505352363961,94.0,3.04989853839302,54,94,94.0,94.0,94.0,94.0,54.80979784565442,54.0,5.378745906804469,54,94,54.0,54.0,54.0,54.0,0.0011430751644920262,0.000579,0.0022322651483011107,0E-9,0.044591000,0.0001970000,0.0011360000,0.0001000000000000000000000000000,0.002315000000000000000000000000,0.0015117953069657616,0.000832,0.0026147937110984707,0E-9,0.040359000,0.00040475000,0.00151400000,0.0001780000,0.0029850000,Wired
10.320002000,581452,216782,6202,3889,93.75233795549822,94.0,3.1206350867354917,54,94,94.0,94.0,94.0,94.0,55.742350218565186,54.0,7.180252606959132,54,94,54.0,54.0,54.0,54.0,0.0016642480245121756,0.000724,0.0029577462739482172,0E-9,0.077407000,0.000184000,0.002498000,0.000105000,0.004354000,0.002643257716049383,0.0017360000000000001,0.0038800586083408122,0.000001000,0.122440000,0.00072675000,0.00373050000,0.0002460000000000000000000000000,0.005110000000000000000000000000,Wired
11.007681000,946896,959322,17506,10209,54.089797783617044,54.0,1.8880831336805295,54,94,54.0,54.0,54.0,54.0,93.9682632970908,94.0,1.0945557291191135,54,94,94.0,94.0,94.0,94.0,0.0006288290774064553,0.0,0.0028413581689207637,0E-9,0.062713000,0E-9,0.000045000,0E-50,0.0008486000000000003637978807092,0.001078335129310345,0.000912,0.0022342714042391507,0.000010000,0.077539000,0.00088300000,0.00093500000,0.0007690000000000000000000000000,0.0009580000000000000000000000000,Cellular
10.616039000,1103272,500524,11744,7466,93.94346049046321,94.0,1.2515665995264178,66,94,94.0,94.0,94.0,94.0,67.04045004018217,66.0,4.732379579943099,66,94,66.0,66.0,66.0,66.0,0.0009040299753044366,0.000482,0.001626084256054455,0E-9,0.076201000,0.0001550000,0.0011890000,0.00005600000000000000000000000000,0.002193800000000001091393642128,0.0014221032819825856,0.001052,0.0019126101607293596,0.000001000,0.049473000,0.000500000,0.001795000,0.0001820000000000000000000000000,0.002957200000000000727595761418,Wired
10.813763000,3507818,1313366,53985,13975,64.97764193757526,54.0,15.51167768473289,54,94,54.0,82.0,54.0,90.0,93.97967799642218,94.0,0.872353736330519,54,94,94.0,94.0,94.0,94.0,0.00020031422273266152,0.0,0.0010905909701228564,0E-9,0.041048000,0E-11,0E-11,0E-49,0.00003300000000000000000000000000,0.0007737976241591528,0.00086,0.0014082602536238365,0.000001000,0.080676000,0.00016400000,0.00095700000,0.00009500000000000000000000000000,0.0009800000000000000000000000000,Wired
10.796562000,6264234,1628924,88319,17332,70.92736557252687,66.0,16.171787847588494,54,94,54.0,90.0,54.0,90.0,93.9836141241634,94.0,0.7833647207324391,54,94,94.0,94.0,94.0,94.0,0.00012224617858194254,0.0,0.0007806681920703069,0E-9,0.041785000,0E-11,0E-11,0E-47,0.00003000000000000000000000000000,0.000622960302348393,0.000862,0.0012806549002350846,0E-9,0.066065000,0.0000770000,0.0009470000,0.000044000,0.000970000,Wired
10.305045000,3318508,1414174,40124,15047,82.70631043764331,90.0,10.35239223937228,54,94,74.0,90.0,66.0,90.0,93.98378414301854,94.0,0.7749588168488776,54,94,94.0,94.0,94.0,94.0,0.00025683635321386737,0.0,0.0011631663211342503,0E-9,0.043958000,0E-10,0E-10,0E-50,0.00004100000000000000000000000000,0.0006845196065399441,0.000908,0.0010644510398318658,0E-9,0.055521000,0.00015500000,0.00094300000,0.0000480000,0.0009730000,Wired
10.758737000,511306,215488,5459,3918,93.66294193075655,94.0,3.5714918302919916,54,94,94.0,94.0,94.0,94.0,54.99948953547728,54.0,6.229505565555499,54,94,54.0,54.0,54.0,54.0,0.0019711839501648956,0.000156,0.0038813528424195423,0E-9,0.071311000,0.00005600000,0.00316025000,0E-51,0.005051600000000000363797880709,0.0027466691345417412,0.000676,0.004405132781201949,0.000001000,0.077064000,0.000117000,0.003959000,0.00005300000000000000000000000000,0.007935000000000005002220859751,Cellular
10.337023000,622340,236332,6632,4196,93.83896260554886,94.0,2.5230654283813085,54,94,94.0,94.0,94.0,94.0,56.32316491897045,54.0,8.488003009083538,54,94,54.0,54.0,54.0,54.0,0.001558888252148997,0.000842,0.0037716813297416045,0E-9,0.253713000,0.0001780000,0.0024865000,0.000144000,0.003926000,0.0024641182359952324,0.002068,0.004572849018057995,0.000001000,0.252615000,0.0008560000,0.0035575000,0.0003140000000000000000000000000,0.004750799999999999727151589468,Wired
